calumet_product,competitor_product
Royal Purple Max-Clean FSC,Techron 20 Ounce Complete Fuel System Cleaner
Royal Purple Max-Clean FSC,Sea Foam 16 Ounce Motor Treatment
Royal Purple Max-Boost Octane Booster,104+ 16 Ounce Octane Boost
Royal Purple Max-Boost Octane Booster,Lucas Oil Products 15 Ounce Octane Boost
Royal Purple Max-Atomizer FIC,Lucas Oil Products Fuel System Cleaner
Royal Purple Max-Atomizer FIC,"Berryman B-12 Chemtool 15 Ounce Carburetor, Fuel system And Injector Cleaner"
Royal Purple Purple Ice Radiator Treatment,Lubegard KOOL-IT Radiator additive
Royal Purple Purple Ice Radiator Treatment,  Red Line WaterWetter Pink Concentrate Coolant/Antifreeze
Royal Purple Max-EZ PSF,Lucas Power Steering Fluid 16 Ounce
Royal Purple Max-EZ PSF,Prestone Power Steering Fluid 12 Ounce